Current Evaluation Model of Likelihood to Leave,EmployeeLeft,Hired through SMTP,Marked for PHT Program,Recruiting Location Code,Salary,"Survey, Relative, Attitude toward Environment","Survey, Relative, Attitude toward Peers","Survey, Relative, Peer's Average Attitude toward Peers","Survey, Relative, Peer's Average Attitude toward Work/Life Balance",University
38.3,1.0,0,1,27999,41675.71,3,5,7,5,St. Norbert College
38.0,1.0,0,0,81996,45810.49,4,3,1,2,St. Norbert College
32.5,0.0,1,1,10000,51701.41,3,1,1,3,St. Norbert College
36.5,0.0,1,1,10000,40169.06,2,8,4,4,Enugu State University of Science and Technology
51.3,1.0,0,0,45998,55204.27,5,2,1,4,St. Norbert College
34.2,1.0,1,1,45998,44119.88,3,6,2,2,NHTV Breda University of Professional Education
43.6,1.0,1,0,63997,59418.8,3,5,4,4,Enugu State University of Science and Technology
32.6,0.0,0,1,27999,48737.93,1,6,7,1,Enugu State University of Science and Technology
26.2,0.0,1,1,45998,43027.47,5,5,2,1,Nazarene Bible College
56.5,1.0,0,0,45998,52812.61,3,3,3,2,St. Norbert College
31.6,0.0,1,0,81996,45393.72,5,4,3,1,COMSATS Institute of Information Technology
47.5,0.0,1,1,81996,55154.67,4,1,1,3,Université de Corse Pascal Paoli
35.0,0.0,1,1,81996,43198.58,1,2,2,3,Enugu State University of Science and Technology
21.8,0.0,1,0,27999,43732.11,5,2,2,2,NHTV Breda University of Professional Education
46.6,1.0,0,0,45998,51116.18,4,7,1,4,St. Norbert College
49.7,1.0,0,1,63997,56281.69,4,4,1,3,Enugu State University of Science and Technology
22.1,1.0,0,1,63997,46531.49,5,3,1,3,Enugu State University of Science and Technology
29.8,0.0,0,0,81996,49459.14,2,7,1,2,Enugu State University of Science and Technology
22.7,1.0,0,0,27999,61009.2,5,6,3,4,Enugu State University of Science and Technology
25.9,0.0,0,1,63997,50605.92,4,5,1,1,St. Norbert College
51.7,1.0,0,0,27999,41710.35,3,4,1,4,NHTV Breda University of Professional Education
28.2,1.0,0,0,81996,42988.48,3,1,3,3,St. Norbert College
27.4,0.0,1,0,45998,44999.89,3,5,1,3,COMSATS Institute of Information Technology
28.4,0.0,0,1,10000,42808.07,5,5,4,1,Enugu State University of Science and Technology
31.6,1.0,1,0,81996,52064.4,4,2,3,2,St. Norbert College
41.6,0.0,0,0,45998,49489.6,2,1,4,5,Université de Corse Pascal Paoli
20.7,0.0,1,0,45998,43582.26,1,4,2,1,NHTV Breda University of Professional Education
40.7,0.0,1,1,81996,48630.46,5,3,2,1,NHTV Breda University of Professional Education
64.7,1.0,0,0,10000,58369.2,4,3,2,3,NHTV Breda University of Professional Education
48.3,0.0,0,1,63997,55047.34,1,3,5,3,Enugu State University of Science and Technology
45.2,0.0,0,1,81996,42698.94,3,1,2,1,St. Norbert College
40.9,0.0,0,0,10000,49131.22,3,4,1,1,St. Norbert College
46.1,0.0,1,0,63997,45342.83,5,7,4,1,Enugu State University of Science and Technology
31.8,1.0,0,1,27999,49142.51,5,5,1,2,St. Norbert College
40.3,1.0,0,0,27999,64080.61,5,5,3,2,NHTV Breda University of Professional Education
35.6,0.0,1,0,63997,41529.58,3,8,1,3,NHTV Breda University of Professional Education
42.0,0.0,0,1,27999,50551.48,4,6,4,2,Enugu State University of Science and Technology
41.8,0.0,1,0,45998,47445.79,2,2,4,1,COMSATS Institute of Information Technology
62.0,1.0,0,1,81996,51068.96,5,2,1,4,St. Norbert College
42.6,1.0,1,0,27999,56950.86,5,3,2,1,St. Norbert College
33.8,1.0,0,0,81996,59374.57,3,8,1,4,Enugu State University of Science and Technology
24.0,0.0,0,0,45998,49168.32,5,6,1,1,NHTV Breda University of Professional Education
34.3,1.0,1,1,27999,42871.77,4,3,1,4,St. Norbert College
44.4,0.0,1,1,45998,42630.29,5,3,1,3,Nazarene Bible College
51.7,0.0,1,0,81996,47383.03,3,3,1,1,St. Norbert College
38.9,0.0,0,0,81996,42772.04,5,8,3,1,COMSATS Institute of Information Technology
47.6,0.0,0,1,63997,44316.47,3,4,1,4,NHTV Breda University of Professional Education
59.1,1.0,0,0,63997,46339.88,5,3,5,5,Université de Corse Pascal Paoli
47.2,0.0,1,0,81996,47846.25,1,4,1,4,NHTV Breda University of Professional Education
30.4,1.0,0,0,81996,48978.67,5,2,1,4,St. Norbert College
36.0,0.0,1,0,45998,45382.92,3,5,1,3,Enugu State University of Science and Technology
46.8,0.0,0,0,63997,41311.0,5,2,1,2,Nazarene Bible College
34.8,0.0,1,1,63997,58706.63,3,4,1,1,St. Norbert College
27.8,1.0,1,1,81996,47537.57,4,5,3,4,NHTV Breda University of Professional Education
38.4,1.0,1,0,45998,47370.1,5,2,1,3,St. Norbert College
44.5,0.0,0,0,81996,47129.03,4,5,7,1,NHTV Breda University of Professional Education
24.6,0.0,0,1,27999,49082.28,2,3,1,4,Université de Corse Pascal Paoli
27.4,0.0,1,1,27999,50001.29,3,6,1,1,St. Norbert College
43.6,0.0,1,1,81996,54488.27,2,6,6,2,Enugu State University of Science and Technology
45.5,0.0,1,0,45998,42438.78,5,4,1,1,St. Norbert College
34.3,0.0,1,1,63997,50272.12,5,3,1,1,St. Norbert College
41.0,0.0,1,0,27999,42942.53,4,2,3,1,NHTV Breda University of Professional Education
19.0,0.0,1,1,10000,47010.93,5,4,1,3,Nazarene Bible College
